Model_FU.,A1,A2,A3,A4,A5,No,,,,,,,,,,,,CTE [300K],CTE [1100K],CTE [1250K],Lat. a[A],Lat. b[A],Lat. c[A],Vol.[A3],Den.[cm3/g],VASP.E[eV/atom],Form.E[eV/atom],Coh.E[eV/atom],ZPE[kJ/mol],DebyeT.[K],Bulk(B_H)[GPa],Shear(G_H)[GPa],Young(E_H)[GPa],Hv:Super-hard(>5GPa),Melting_P.[K],Min. TC:[W/mK],Poisson's_R,Pugh's_C.[G/B]
Ag4Al4Co4Fe4Ni4,Al,Al,Co,Fe,Ni,5,1.768,0.131514258,138.6,0.122408716,13.38151058,339.932,339.932,371.18,62.30516589,62.30516589,47.0283489,13.9258,14.8749,14.893,5.675052,6.006752,8.097339,260.849437,7.851,-108.931069,-0.006,-4.288,16.88,361,141.65,50.74,135.36,4.613,1228.01,0.9002,0.34,0.358
Al4Co4Cd4Fe4Ni4,Al,Co,Cd,Fe,Ni,5,1.784,0.11516944,147.2,0.102884756,13.38151058,318.53,318.53,402.562,54.13950166,54.13950166,90.94243001,16.9866,17.876,17.8928,5.937961,5.900201,7.850158,274.948656,7.558,-100.063174,0.045,-3.882,14.83,317,111.85,38.96,104.45,3.704,1038.45,0.7781,0.344,0.348
Al4Co4Hf4Fe4Ni4,Al,Co,Hf,Fe,Ni,5,1.706,0.22861321,156.6,0.185321657,13.38151058,322.87,322.87,391.212,53.17618678,53.17618678,71.90098035,13.4716,14.1763,14.1896,5.937607,5.454617,8.594241,276.385639,9.107,-142.250503,-0.23,-5.292,14.82,316.9,140.4,47.01,126.7,4.052,1256.25,0.778,0.349,0.335
Al4Co4Ta4Fe4Ni4,Al,Co,Ta,Fe,Ni,5,1.746,0.161814709,155,0.16922422,13.38151058,324.968,324.968,356.216,53.21428545,53.21428545,45.78954274,10.467,11.1815,11.1951,5.63275,5.880849,7.728194,255.989178,9.896,-147.816911,-0.13,-5.569,16.9,361.3,191.85,63.03,170,4.886,1518.11,0.9098,0.352,0.329
Al4Co4Fe4Ni4W4,Al,Co,Fe,Ni,W,5,1.918,0.244736593,153.6,0.155412251,13.38151058,322.246,322.246,353.494,53.22870827,53.22870827,47.62700436,10.6033,11.3631,11.3776,5.745837,6.396579,7.874369,250.534242,10.189,-151.229931,-0.073,-5.53,17.31,370,192.62,67.23,180.15,5.469,1609.98,0.9364,0.344,0.349
Al4Co4Re4Fe4Ni4,Al,Co,Re,Fe,Ni,5,1.826,0.111462998,152.6,0.145802715,13.38151058,314.162,314.162,379.31,56.4559791,56.4559791,55.00139453,9.5675,10.3835,10.3992,5.753225,5.766691,7.386982,245.060677,10.48,-149.038186,-0.069,-5.411,18.85,403,215.47,81.1,215.79,6.798,1686.69,1.0255,0.333,0.376
Al4Co4Os4Fe4Ni4,Al,Co,Os,Fe,Ni,5,1.886,0.188955021,152,0.140179446,13.38151058,313.63,313.63,376.536,56.82347789,56.82347789,51.84743758,9.9888,10.8223,10.8383,5.756567,5.83379,7.323146,245.904797,10.552,-144.733601,-0.088,-5.537,18.65,398.7,206.2,80.22,212.62,7.011,1585.82,1.0122,0.328,0.389
Al4Co4Ir4Fe4Ni4,Al,Co,Ir,Fe,Ni,5,1.886,0.188955021,151,0.131119138,13.38151058,335.722,335.722,366.97,58.35562129,58.35562129,44.70143846,11.8499,12.8132,12.8317,5.740596,5.846472,7.353837,246.744117,10.57,-137.098943,-0.187,-5.437,18.41,393.6,173.58,79.02,205.5,8.29,1492.71,0.9919,0.302,0.455
Al4Co4Pt4Fe4Ni4,Al,Co,Pt,Fe,Ni,5,1.902,0.216277599,150.4,0.125916176,13.38151058,337.426,337.426,368.674,59.84299144,59.84299144,45.47010561,11.9001,12.7615,12.778,5.806549,5.892112,7.404998,253.28771,10.372,-127.311237,-0.248,-5.137,17.39,371.9,169.97,70.13,184.82,6.824,1416.48,0.9332,0.319,0.413
Al4Au4Co4Fe4Ni4,Al,Au,Co,Fe,Ni,5,1.954,0.311294073,149.8,0.120929152,13.38151058,340.506,340.506,371.754,62.9117816,62.9117816,47.45262336,12.3095,13.0501,13.0642,4.513189,7.085953,9.181851,259.582874,10.169,-112.392116,-0.078,-4.464,15.88,339.5,162.02,57.89,155.02,5.048,1544.55,0.8492,0.34,0.357
