Model_FU.,A1,A2,A3,A4,A5,No,,,,,,,,,,,,CTE [300K],CTE [1100K],CTE [1250K],Lat. a[A],Lat. b[A],Lat. c[A],Vol.[A3],Den.[cm3/g],VASP.E[eV/atom],Form.E[eV/atom],Coh.E[eV/atom],ZPE[kJ/mol],DebyeT.[K],Bulk(B_H)[GPa],Shear(G_H)[GPa],Young(E_H)[GPa],Hv:Super-hard(>5GPa),Melting_P.[K],Min. TC:[W/mK],Poisson's_R,Pugh's_C.[G/B]
Co4Cr4Fe4Ni4Ag4,Co,Cr,Fe,Ni,Ag,5,1.842,0.097036076,157.6,0.043333429,13.38151058,317.858,317.858,349.106,55.89044047,55.89044047,53.22602694,11.9744,12.978,12.9973,5.822631,5.82814,7.189803,243.958237,9.076,-125.157564,0.338,-4.055,18.69,399.6,173.29,68.99,182.55,6.467,1415.27,1.0166,0.324,0.398
Cd4Co4Cr4Fe4Ni4,Cd,Co,Cr,Fe,Ni,5,1.794,0.100915806,156.8,0.038981395,13.38151058,295.74,295.74,379.772,32.70471587,32.70471587,101.1890159,16.235,17.2508,17.2701,4.576113,6.961289,8.532465,265.320052,8.459,-118.416692,0.282,-3.755,16.19,346.1,119.19,51.06,133.61,5.676,1266.01,0.8519,0.313,0.428
Co4Cr4Fe4Hf4Ni4,Co,Cr,Fe,Hf,Ni,5,1.716,0.225264289,166.2,0.13040883,13.38151058,300.08,300.08,368.422,34.11798411,34.11798411,81.37019931,13.3669,13.9077,13.9178,5.915207,6.490037,7.85933,262.770573,10.211,-159.830815,0.047,-5.127,13.05,279.1,149.35,39.08,107,2.688,1351.44,0.6983,0.38,0.262
Co4Cr4Fe4Ni4Ta4,Co,Cr,Fe,Ni,Ta,5,1.756,0.154479772,164.6,0.113046934,13.38151058,302.178,302.178,333.426,35.54879767,35.54879767,44.19188731,10.5044,11.2759,11.2907,5.818497,5.83807,7.299664,247.950349,10.887,-167.400944,0.046,-5.504,17.52,374.5,197.01,73.39,195.68,6.276,1581.16,0.9507,0.334,0.373
Co4Cr4Fe4Ni4W4,Co,Cr,Fe,Ni,W,5,1.928,0.232671442,163.2,0.097839871,13.38151058,299.456,299.456,330.704,33.78140708,33.78140708,44.72698809,9.946,10.7582,10.7738,5.77684,5.758283,7.202363,239.577524,11.348,-170.365968,0.126,-5.443,18.45,394.5,213.12,83.05,220.16,7.206,1727.67,1.0106,0.328,0.39
Co4Cr4Fe4Ni4Re4,Co,Cr,Fe,Ni,Re,5,1.836,0.092217135,162.2,0.087049877,13.38151058,291.372,291.372,356.52,33.56630656,33.56630656,62.7217554,8.2499,9.2014,9.2201,5.736107,5.65853,7.158037,232.327007,11.77,-168.749013,0.101,-5.352,21.84,467,256.21,119.12,309.19,11.363,2162.34,1.2003,0.299,0.465
Co4Cr4Fe4Ni4Os4,Co,Cr,Fe,Ni,Os,5,1.896,0.174882818,161.6,0.080645221,13.38151058,290.84,290.84,353.746,33.82422859,33.82422859,58.91165474,9.8094,10.8309,10.8508,4.418589,5.728276,9.843422,235.378165,11.73,-164.373249,0.085,-5.475,20.78,444.3,215.13,108.83,279.06,11.733,2099.05,1.1324,0.284,0.506
Co4Cr4Fe4Ni4Ir4,Co,Cr,Fe,Ni,Ir,5,1.896,0.174882818,160.6,0.070181832,13.38151058,312.932,312.932,344.18,48.24419857,48.24419857,48.42134447,8.6261,9.6772,9.6979,5.721692,5.71078,7.146003,233.494216,11.882,-155.548238,0.046,-5.315,22.43,479.7,242.18,128.01,326.35,13.845,2073.12,1.2232,0.275,0.529
Co4Cr4Fe4Ni4Pt4,Co,Cr,Fe,Ni,Pt,5,1.912,0.203312567,160,0.064104407,13.38151058,314.636,314.636,345.884,50.803308,50.803308,49.91599768,8.0896,8.8718,8.8869,5.759266,5.755696,7.175407,237.845736,11.744,-144.423681,0.052,-4.948,20.04,428.5,259.87,100.89,267.82,8.223,1994.11,1.1009,0.328,0.388
Co4Cr4Fe4Ni4Au4,Co,Cr,Fe,Ni,Au,5,1.964,0.300705836,159.4,0.058259407,13.38151058,317.716,317.716,348.964,55.66031929,55.66031929,53.0680147,11.2984,12.0911,12.1062,5.897115,5.90134,7.238719,251.892025,11.139,-130.113667,0.191,-4.306,17.13,366.2,180.36,72.7,192.19,6.807,1442.03,0.9217,0.322,0.403
0,,,,,,,,,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
